city_name,month,median_contract_rent_per_sqm,weighted_median_contract_rent_per_sqm,pct_income_region_bedrooms_category
São Bernardo do Campo,2019-06-01,18.988755408284515,18.60652225184369,0.420171207
São Bernardo do Campo,2019-07-01,18.854279887251828,18.6090729301374,0.420171207
São Bernardo do Campo,2019-08-01,19.08122578255155,19.01088666846617,0.420171207
São Bernardo do Campo,2019-09-01,18.73209221378264,19.00305667354572,0.420171207
São Bernardo do Campo,2019-10-01,18.640564534424318,18.569709972133744,0.420171207
São Bernardo do Campo,2019-11-01,17.886353474387423,17.609852130204747,0.420171207
São Bernardo do Campo,2019-12-01,17.311417680036403,16.921961492803167,0.420171207
São Bernardo do Campo,2020-01-01,16.72717883403227,16.55363735306898,0.420171207
São Bernardo do Campo,2020-02-01,17.545192544452856,17.351759025957683,0.420171207
São Bernardo do Campo,2020-03-01,17.58436873863558,17.336163227772634,0.420171207
São Bernardo do Campo,2020-04-01,17.456429579047178,17.181662767294185,0.420171207
São Bernardo do Campo,2020-05-01,16.549296179211996,16.22055908919726,0.420171207
São Bernardo do Campo,2020-06-01,16.451018569064814,15.845295900618062,0.420171207
São Bernardo do Campo,2020-07-01,17.05650688468527,16.20982102795458,0.420171207
São Bernardo do Campo,2020-08-01,17.430764736641837,16.40432901064287,0.420171207
São Bernardo do Campo,2020-09-01,18.212675069586957,17.5982915203034,0.420171207
São Bernardo do Campo,2020-10-01,17.914096779688638,17.603182961380273,0.420171207
São Bernardo do Campo,2020-11-01,18.020741960836233,17.730571847975316,0.420171207
São Bernardo do Campo,2020-12-01,18.356441953473286,17.56105395432458,0.420171207
São Bernardo do Campo,2021-01-01,19.115872097821203,18.13689014922096,0.420171207
São Bernardo do Campo,2021-02-01,19.54388054629066,19.037088912512505,0.420171207
São Bernardo do Campo,2021-03-01,19.8749318968299,19.60066554192153,0.420171207
São Bernardo do Campo,2021-04-01,19.7290138584776,19.508335342112414,0.420171207
São Bernardo do Campo,2021-05-01,19.841202000533,19.31142416035232,0.420171207
São Bernardo do Campo,2021-06-01,19.375831723726858,18.95717399622033,0.420171207
São Bernardo do Campo,2021-07-01,19.601593406249133,19.253590548574675,0.420171207
São Bernardo do Campo,2021-08-01,19.897039623083938,19.626299773119957,0.420171207
São Bernardo do Campo,2021-09-01,20.199064506248245,19.644955490980106,0.420171207
São Bernardo do Campo,2021-10-01,20.29214087373892,19.74042773902313,0.420171207
São Bernardo do Campo,2021-11-01,20.093717409178982,19.49641683589044,0.420171207
São Bernardo do Campo,2021-12-01,20.10113985105741,19.67028135785932,0.420171207
São Bernardo do Campo,2022-01-01,20.43381142028833,19.951155356008876,0.420171207
